Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
au,custom home builders north shore,custom home builder,,,,,140,4,0.00,0.21,124,Informational,"Video, Related Searches, Local Pack, Site Links","0.42,0.42,0.11,0.15,0.65,0.65,0.65,0.80,1.00,1.00,1.00,0.80",20,,
au,custom home builders kew,custom home builder,,,,,90,6,0.00,0.00,314000,Informational,"Local Pack, Video, Image, Related Searches, AI Overview","0.00,0.23,0.00,0.00,0.80,0.80,0.80,1.00,1.00,0.80,0.80,0.66",90,,
au,custom architectural home builder eastern suburbs,custom home builder,,,,,70,18,0.00,0.00,0,Informational,"Video, Related Searches, AI Overview, Local Pack","0.00,1.00,1.00,0.77,0.55,0.77,0.55,0.44,0.55",90,,
au,custom home builder carlingford,custom home builder,,,,,70,5,0.00,0.00,64000,Informational,"Image, Knowledge Panel, Video","1.00,0.71,0.71",70,,
au,custom home builders mona vale,custom home builder,,,,,50,7,0.00,0.33,541000,Informational,"Local Pack, Video, Image, Video Carousel, Related Searches, AI Overview","0.18,0.18,0.18,0.18,0.63,0.63,0.63,1.00,0.81,0.81,0.81,0.63",90,,
au,custom home builders western suburbs,custom home builder,,,,,50,21,0.00,0.00,1830000,Informational,"Local Pack, Related Searches, AI Overview","0.14,0.14,0.14,0.00,1.00,0.78,0.64,0.50,0.50,0.50,0.78,1.00",90,,
au,how to choose a custom home builder,custom home builder,,,,,50,0,0.00,0.33,191000000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.22,0.22,0.22,0.00,1.00,1.00,1.00,0.77,0.55,1.00,0.77,0.77",,,
au,building house building,builder,,,,,1000,19,1.35,0.74,3840000000,"Informational, Transactional","Related Searches, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask","1.00,1.00,1.00,1.00,0.24,0.76,0.76,0.76,0.55,0.67,0.76,0.55",20,,
au,modern home designs,builder,,,,,1000,28,0.78,0.35,667000000,Informational,"Image, Related Searches, Image Pack, Site Links, Video","0.24,0.36,0.36,0.20,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81",20,,
au,duplex builders sydney,builder,,,,,720,28,2.62,0.57,912000,Informational,"Related Searches, AI Overview, Local Pack, Video","0.36,0.30,0.24,0.24,0.76,0.76,0.76,0.76,1.00,1.00,1.00,0.76",90,,
au,building a house,builder,,,,,720,17,1.35,0.74,7610000000,Informational,"Short Videos, Discussions And Forums, AI Overview, Image Pack, Site Links, Video, Video Carousel, Related Searches","0.20,0.13,0.20,0.30,0.24,0.34,0.24,0.30,0.30,0.24,0.30,0.24",20,,
au,duplex builder,builder,,,,,590,27,2.44,0.44,146,Informational,"Local Pack, Video, Related Searches","0.20,0.08,0.08,0.16,0.68,1.00,0.37,0.31,0.37,0.31,0.37,0.37",75,,
au,metricon dual occupancy,builder,,,,,390,20,1.13,0.57,19200,"Informational, Navigational","Image Pack, Video, Image, People Also Ask, Related Searches","0.44,0.36,0.36,0.36,0.44,0.54,0.44,0.54,0.67,0.44,0.54,0.54",90,,
au,builders of duplex homes,builder,,,,,320,28,2.44,0.44,14100000,Informational,"Related Searches, AI Overview, Local Pack, Video, People Also Ask","0.24,0.55,0.30,0.20,0.20,0.20,0.10,0.08,0.36,0.45,1.00,0.76",90,,
au,building a new home,builder,,,,,320,21,1.58,0.74,0,Informational,"Discussions And Forums, Video, Video Carousel, Related Searches","0.28,0.28,0.28,0.35,1.00,1.00,0.81,0.66,0.81,0.66,0.66,0.66",90,,
au,deck builder mtg,builder,,,,,320,26,1.37,0.02,2610000,Informational,"Video Carousel, Related Searches, Discussions And Forums, Site Links, Video","0.36,0.23,0.19,0.66,0.54,1.00,0.29,0.54,0.54,0.44,0.66,0.54",20,,
au,how to choose a builder,builder,,,,,320,14,2.15,0.01,351000000,Informational,"Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.11,0.11,0.05,0.05,0.48,0.72,0.72,0.72,0.59,0.59,1.00,0.48",20,,
au,builder plans,builder,,,,,260,30,1.75,0.35,401000000,Informational,"AI Overview, Site Links, Video, Image, Related Searches, See Results About","0.23,0.44,0.44,0.29,0.19,0.36,0.36,0.36,0.44,0.29,0.36,0.23",20,,
au,builder quote,builder,,,,,260,8,5.53,0.45,144000000,Informational,"AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.22,0.08,0.10,0.08,0.81,0.81,0.66,0.66,0.66,0.66,0.54,0.43",20,,
au,builder quotes,builder,,,,,260,9,5.53,0.45,123000000,Informational,"People Also Ask, Related Searches, AI Overview, Site Links, Video","0.35,0.82,0.17,0.17,1.00,1.00,0.82,0.82,0.82,0.82,0.66,0.82",20,,
au,building new home,builder,,,,,260,16,1.58,0.74,4810000000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","1.00,0.18,0.66,0.14,0.54,0.66,0.81,0.54,0.66,0.43,0.43,0.43",20,,
au,constructing a new home,builder,,,,,260,18,1.40,0.68,0,Informational,"Video, Video Carousel, Related Searches, AI Overview","0.44,1.00,0.81,0.66,0.00,0.44,0.00,0.01,0.04,0.04,0.04,0.04",90,,
au,design consultant,builder,,,,,260,24,1.73,0.17,134,Informational,"Knowledge Panel, Image Pack, Video, People Also Ask, Related Searches, AI Overview","1.00,0.35,0.54,0.43,0.81,0.66,0.54,0.29,0.22,0.18,0.29,0.35",70,,
au,energy efficient home builders,builder,,,,,260,28,1.60,0.02,137,Informational,"Local Pack, Video, Related Searches, AI Overview","0.22,0.29,0.14,0.06,1.00,1.00,0.81,1.00,0.54,0.54,0.54,0.54",90,,
au,first home build,builder,,,,,260,16,2.03,0.33,3110000000,Informational,"Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview","0.43,0.18,0.10,0.14,0.81,0.81,1.00,1.00,1.00,1.00,1.00,0.81",90,,
au,home builders under 300k,builder,,,,,260,6,2.00,0.15,0,Informational,"Related Searches, AI Overview, Video","0.18,0.18,0.03,0.03,0.54,0.66,1.00,0.81,0.81,0.81,1.00,0.81",90,,
au,ndis builders,builder,,,,,260,11,3.58,0.23,124,Informational,"Site Links, Related Searches","0.43,0.53,0.43,0.43,1.00,0.82,1.00,1.00,0.53,0.28,0.43,0.43",20,,
au,townhouse builder,builder,,,,,260,16,2.15,0.53,146,Informational,"Local Pack, Video, Related Searches","0.23,0.23,0.15,0.11,0.66,1.00,0.66,0.54,0.54,0.66,0.54,0.66",75,,
au,builders quotation,builder,,,,,210,3,5.53,0.45,131,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, People Also Ask","0.43,0.54,0.43,0.54,0.43,0.43,0.43,0.35,0.35,0.35,0.35,0.43",20,,
au,builders quotes,builder,,,,,210,17,5.53,0.45,49500000,"Informational, Commercial","Video, Image, Video Carousel, Related Searches, AI Overview, Site Links","0.14,0.54,0.10,0.14,0.66,0.81,0.54,0.66,0.43,0.43,0.43,0.43",20,,
au,building a home,builder,,,,,210,26,1.53,0.79,8470000000,Informational,"People Also Ask, Related Searches, Discussions And Forums, Local Pack, Site Links, Video, Video Carousel","0.12,0.15,0.12,0.29,0.44,0.36,0.36,0.29,0.44,0.44,0.44,0.54",20,,
au,building a house australia,builder,,,,,210,17,1.82,0.48,1050000000,Informational,"Video, Video Carousel, Related Searches, AI Overview, Site Links","0.81,1.00,0.53,0.43,0.53,0.53,0.81,0.53,0.53,0.43,0.53,0.53",20,,
au,double storey home builders,builder,,,,,210,13,2.36,0.24,9760000,Informational,"Image, Related Searches","0.14,0.10,0.04,0.08,1.00,1.00,0.81,0.66,0.66,0.66,0.54,0.43",90,,
au,duplex builders sydney nsw,builder,,,,,210,20,2.62,0.57,0,Informational,"Image, Related Searches, Knowledge Panel, Video","0.05,0.07,0.26,0.07,0.17,0.14,1.00,0.11,0.07,0.11,0.21,0.09",70,,
au,how much does a builders report cost,builder,,,,,210,8,1.78,0.41,127,Informational,"AI Overview, Video, Related Searches","0.65,1.00,1.00,0.80,0.42,0.80,0.80,1.00,0.80,0.53,0.65,0.65",90,,
au,how to choose a builder for renovation,builder,,,,,210,6,0.00,0.00,0,Informational,"Video, Related Searches, Discussions And Forums, AI Overview, Site Links","0.12,0.29,0.36,0.29,0.54,1.00,0.19",20,,
au,office renovation builders sydney,builder,,,,,210,15,0.00,0.00,134,Informational,"Related Searches, AI Overview, Local Pack, Video","0.35,0.35,0.23,0.28,0.53,0.66,0.66,0.82,1.00,0.53,0.66,0.66",90,,
au,top 20 builders in australia,builder,,,,,210,16,1.65,0.24,96200000,Informational,"Video, Related Searches, AI Overview","0.07,0.05,0.07,0.04,0.08,0.08,0.08,0.07,0.05,0.05,0.07,0.07",90,,
au,builders for small jobs,builder,,,,,170,7,2.01,0.45,122000000,"Informational, Commercial","Related Searches, AI Overview, Site Links, Video, People Also Ask","0.05,0.07,0.05,0.07,0.82,0.82,1.00,0.82,0.66,0.66,0.53,0.35",20,,
au,building a house in australia,builder,,,,,170,17,1.82,0.48,164,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.81,1.00,0.53,0.43,0.65,0.53,0.81,0.53,0.53,0.43,0.43,0.53",20,,
au,duplex builders in sydney,builder,,,,,170,27,2.62,0.57,844000,Informational,"Related Searches, AI Overview, Local Pack, Video","0.34,0.65,0.34,0.34,0.34,0.34,0.34,0.53,0.81,0.81,0.65,1.00",90,,
au,home builders act nsw,builder,,,,,170,22,0.00,0.00,2920000,Informational,"Related Searches, AI Overview","0.65,0.53,0.65,0.65,0.80,0.65,0.80,1.00,0.65,0.53,0.42,0.65",90,,
au,luxury home builders newcastle,builder,,,,,170,17,0.00,0.38,139,Informational,"Related Searches, Knowledge Panel, Video","0.17,0.12,0.28,0.28,0.53,1.00,0.82,0.82,0.82,0.82,0.82,0.82",70,,
au,photos of builders,builder,,,,,170,25,0.00,0.02,188000000,Informational,"Image Pack, Video, Image, Related Searches","0.65,0.53,0.53,0.43,0.34,0.65,1.00,0.81,0.65,0.43,0.34,0.53",90,,
au,town house designs,builder,,,,,170,17,0.78,0.43,152,Informational,"Video, Image, People Also Ask, Related Searches, Image Pack","0.11,0.06,0.06,0.15,0.35,0.35,1.00,0.44,0.35,0.28,0.35,0.28",90,,
au,build of house,builder,,,,,140,26,1.35,0.74,139,Informational,"Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Video Carousel","0.00,0.00,0.00,0.81,1.00,0.00,0.04,0.05,0.00,0.00,0.00,0.00",90,,
au,builder awards,builder,,,,,140,20,0.00,0.00,1230000000,Informational,"AI Overview, Video, Image, Video Carousel, Related Searches","0.80,0.53,0.42,0.42,0.65,0.53,0.65,0.80,0.65,0.42,0.53,0.53",75,,
au,builder bondi,builder,,,,,140,4,5.23,0.32,1590000,Informational,"AI Overview, Knowledge Panel, Video, Image, Related Searches","0.07,0.03,0.03,0.07,0.80,0.80,1.00,1.00,0.80,0.80,0.65,0.53",70,,
au,builder guild,builder,,,,,140,21,0.00,0.03,81,Informational,"Video, Image, Related Searches","0.52,0.66,0.66,0.66,0.52,0.52,0.66,0.66,0.80,0.66,1.00,0.80",75,,
au,builder refuses to remove unfair terms,builder,,,,,140,11,0.00,0.00,23600000,Informational,"Video, Featured Snippet, People Also Ask","0.34,0.81,0.34,1.00,0.34",80,,
au,builders contract,builder,,,,,140,20,2.11,0.36,101000000,Informational,"Related Searches, AI Overview, Video, Adwords Bottom","0.10,0.05,0.00,0.17,0.28,0.28,1.00,0.66,0.66,0.43,0.82,0.53",75,,
au,cheapest home builders,builder,,,,,140,17,1.26,0.80,75300000,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Local Pack","0.11,0.11,0.11,0.19,1.00,1.00,0.80,0.80,0.65,0.80,0.65,0.53",90,,
au,childcare builders sydney,builder,,,,,140,6,0.00,0.86,773000,Informational,"AI Overview, Knowledge Panel, Video, Related Searches","0.52,0.52,0.09,0.09,1.00,1.00,0.80,1.00,0.80,0.80,0.80,0.66",70,,
au,childcare centre builders,builder,,,,,140,8,0.00,0.20,3860000,Informational,"Local Pack, Video, Image, Related Searches, AI Overview","0.52,0.52,0.09,0.09,1.00,1.00,0.80,1.00,1.00,1.00,1.00,1.00",90,,
au,custom house designs,builder,,,,,140,17,1.28,0.60,150,Informational,"Site Links, Video, Image, Related Searches, Image Pack","0.26,0.42,0.34,0.26,1.00,1.00,0.80,0.65,0.80,0.53,0.80,1.00",20,,
au,dual occupancy builders sydney,builder,,,,,140,19,0.00,0.43,0,Informational,"AI Overview, Knowledge Panel, Video, Related Searches","0.12,0.12,0.10,0.10,0.35,0.35,0.53,0.82,0.82,0.82,0.66,0.66",70,,
au,energy efficient home builder,builder,,,,,140,28,1.60,0.02,151,Informational,"AI Overview, Local Pack, Video, Related Searches","0.03,0.03,0.11,0.26,0.80,1.00,0.80,1.00,0.80,0.80,0.80,0.65",90,,
au,farmhouse builders,builder,,,,,140,8,1.03,0.58,21100000,Informational,"Knowledge Panel, Site Links, Video, Image, Related Searches","0.08,0.08,0.08,0.08,0.35,0.35,0.23,0.44,0.44,0.28,1.00,0.54",20,,
au,home builders north shore,builder,,,,,140,4,0.00,0.23,0,Informational,"Knowledge Panel, Site Links, Video, Related Searches, AI Overview","0.42,0.07,0.07,0.26,0.80,0.65,0.65,0.80,0.80,0.80,1.00,0.53",20,,
au,homes designs,builder,,,,,140,30,0.99,0.56,8420000000,Informational,"Image, Related Searches, Image Pack, Site Links","0.14,0.14,0.14,0.35,0.54,0.35,0.43,0.29,0.35,0.14,0.43,0.35",20,,
au,how to pick a builder,builder,,,,,140,9,2.15,0.01,133,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.18,0.18,0.03,0.03,0.06,0.18,0.54,0.44,0.35,0.54,1.00,0.81",20,,
au,how to select a builder,builder,,,,,140,12,2.15,0.01,352000000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.18,0.18,0.03,0.03,0.03,0.18,0.54,0.44,0.35,0.54,1.00,0.81",20,,
au,knock down rebuild builders,builder,,,,,140,19,3.70,0.25,997000,Informational,"Video, Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links","0.15,0.15,0.15,0.21,0.81,1.00,0.81,0.81,0.81,0.65,0.53,0.53",20,,
au,knockdown builder,builder,,,,,140,17,0.00,0.00,152,Informational,"AI Overview, Video, Related Searches","0.06,0.53,1.00,0.28,0.65,0.34",75,,
au,knockdown rebuild builders,builder,,,,,140,22,5.89,0.48,0,Informational,"Discussions And Forums, AI Overview, Local Pack, Video, Related Searches","0.05,0.05,0.12,0.07,0.35,0.53,0.43,0.53,0.53,1.00,0.66,0.53",90,,
au,luxury home designs australia,builder,,,,,140,18,0.86,0.44,114000000,Informational,"Image, Related Searches, Image Pack, Video","0.14,0.14,0.08,0.10,0.29,0.29,0.35,0.66,1.00,0.66,0.66,0.81",90,,
au,new home building plans,builder,,,,,140,29,0.67,0.54,1560000000,Informational,"Image, Related Searches, Image Pack, Site Links, Video","1.00,1.00,1.00,0.52,0.52,0.42,0.66,0.52,1.00,0.33,0.33,0.42",20,,
au,nsw builder licence,builder,,,,,140,28,1.64,0.36,19700000,Informational,"Video, Related Searches","0.14,0.11,0.07,0.17,0.11,0.11,0.09,0.17,0.26,0.17,0.48,0.26",90,,
au,sydney home renovation builder,builder,,,,,140,23,0.00,0.00,134,Informational,"AI Overview, Local Pack, Video, Related Searches","0.41,0.82,1.00,0.64,0.05,0.23",90,,
au,townhouse builders prices,builder,,,,,140,11,1.09,0.46,0,Informational,"Site Links, Video, Related Searches, AI Overview, Local Pack","0.52,1.00,1.00,0.66,0.52,0.66,0.80,0.66,0.42,0.42,0.52,0.52",20,,
au,2 storey home builder,builder,,,,,110,11,1.79,0.42,149,Informational,"Video, Image, Related Searches","0.23,0.23,0.14,0.19,0.66,0.66,0.66,1.00,1.00,1.00,1.00,0.80",90,,
au,australian modern homes,builder,,,,,110,19,1.10,0.09,0,Informational,"Video Carousel, Related Searches, Image Pack, Video, Image","0.52,0.42,0.52,0.66,1.00,0.80,0.52,0.52,0.09,0.09,0.09,0.52",90,,
au,blue mountain builders,builder,,,,,110,16,2.58,0.62,124,Informational,"Knowledge Panel, Video, Related Searches","0.53,0.65,0.34,0.34,0.53,0.34,0.28,0.43,0.28,0.28,0.34,0.28",70,,
au,budget homes to build,builder,,,,,110,17,0.73,0.67,161000000,Informational,"Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview","0.64,0.82,0.82,0.64,0.64,0.64,0.64,0.64,0.52,0.52,0.64,0.64",90,,
au,build a house australia,builder,,,,,110,30,1.82,0.48,888000000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask","0.23,0.23,0.52,0.52,0.66,0.80,1.00,0.66,0.80,0.66,0.80,1.00",20,,
au,cheapest home builder,builder,,,,,110,20,2.14,0.51,241000000,Informational,"Video, Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links","0.65,1.00,0.80,0.53,0.42,0.34,0.34,0.19,0.19,0.19,0.15,0.11",20,,
au,cheapest house build,builder,,,,,110,14,1.26,0.80,229,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.33,0.23,0.19,0.19,0.19,1.00,1.00,1.00,1.00,0.66,1.00,0.19",20,,
au,concrete pool builder parramatta,builder,,,,,110,5,0.00,0.00,205000,Informational,"Local Pack, Site Links, Related Searches","0.34,0.26,0.34,0.42,0.42,1.00,1.00,1.00",20,,
au,dual occupancy builder hunter valley,builder,,,,,110,6,0.00,0.33,15500000,Informational,"Local Pack, Video, Related Searches","0.19,0.11,0.11,0.11,0.42,0.34,0.34,0.80,1.00,1.00,0.65,0.53",90,,
au,dual occupancy home builders,builder,,,,,110,17,2.08,0.29,0,Informational,"Knowledge Panel, Image Pack, Video, Related Searches","0.19,0.19,0.19,0.19,0.42,0.42,0.42,1.00,0.80,0.80,1.00,0.65",70,,
au,hamptons style home builders,builder,,,,,110,6,1.98,0.52,1310000,Informational,"Knowledge Panel, Video, Related Searches","0.03,0.03,0.06,0.06,0.34,0.34,0.43,1.00,0.81,0.81,0.81,0.65",70,,
au,investment property builder,builder,,,,,110,5,0.00,0.18,138,Informational,"Video, Related Searches, AI Overview","0.03,0.03,0.00,0.03,1.00,1.00,0.65,0.43,0.81,0.34,0.65,0.43",90,,
au,luxury home builders canterbury,builder,,,,,110,5,0.00,0.33,1240000,Informational,"Knowledge Panel, Video, Related Searches","0.19,0.15,0.11,0.15,0.34,0.42,0.53,0.80,0.80,0.80,0.80,1.00",70,,
au,morden house,builder,,,,,110,14,1.30,0.03,141,Informational,"Image Pack, Video, Image, Video Carousel, People Also Ask","0.09,0.21,0.34,0.12,0.65,0.12,0.06,0.53,0.65,0.00,0.43,0.06",75,,
au,modern one story house,builder,,,,,110,6,0.91,0.07,1640000000,Informational,"Image Pack, Video, Image, Video Carousel, Related Searches, Discussions And Forums","0.28,0.28,0.23,0.35,0.28,0.28,0.17,0.17,0.23,0.12,0.17,0.23",90,,
au,nsw builders fix defects,builder,,,,,110,9,0.00,0.00,187,Informational,"Video, Related Searches, Discussions And Forums, AI Overview","0.19,1.00,0.23,0.80,0.42",90,,
au,luxury home designs,luxury home builder,,,,,590,12,0.69,0.34,131,Informational,"Related Searches, Image Pack, Site Links, Video, Image","0.39,0.48,0.32,0.17,0.72,0.88,0.88,0.88,1.00,1.00,1.00,0.88",20,,
au,home luxury home,luxury home builder,,,,,480,28,1.23,0.54,599000000,"Informational, Commercial","Image Pack, Video, Video Carousel, Related Searches","0.21,0.21,0.32,0.32,0.26,0.88,1.00,0.88,0.72,0.59,0.59,0.72",90,,
au,luxury home,luxury home builder,,,,,480,24,1.23,0.54,2300000000,Informational,"Image, Video Carousel, Related Searches, AI Overview, Image Pack, Video","0.48,0.59,0.72,0.39,0.32,0.26,0.88,0.88,0.59,0.17,0.32,0.59",75,,
au,luxury house design,luxury home builder,,,,,480,17,0.74,0.49,657000000,Informational,"People Also Ask, Related Searches, Image Pack, Video, Image","0.81,0.66,0.54,0.36,0.66,0.81,1.00,0.54,0.66,0.54,0.54,0.54",90,,
au,architecturally designed home,luxury home builder,,,,,390,26,1.31,0.36,3290000,Informational,"AI Overview, Knowledge Panel, Image Pack, Video, Video Carousel, People Also Ask, Related Searches","0.44,1.00,1.00,0.66,0.12,0.02,0.81,0.66,0.36,0.54,0.66,0.66",70,,
au,luxury home design,luxury home builder,,,,,390,9,0.69,0.34,941000000,Informational,"Video, Image, Video Carousel, Related Searches, AI Overview, Image Pack","0.54,0.54,0.44,0.23,0.54,0.66,1.00,0.81,0.66,0.81,0.81,0.66",90,,
au,luxury house designs,luxury home builder,,,,,390,20,0.74,0.49,208000000,Informational,"Image Pack, Video, Image, Related Searches","0.55,0.30,0.05,0.03,0.20,0.24,0.30,0.30,0.20,0.24,0.24,0.24",90,,
au,home designs sydney australia,luxury home builder,,,,,320,29,1.61,0.35,164000000,Informational,"Knowledge Panel, Video, Image, Related Searches","0.29,1.00,1.00,0.81,0.44,0.36,0.29,0.36,0.12,0.23,0.36,0.29",70,,
au,show houses sydney,luxury home builder,,,,,320,25,1.56,0.94,0,Informational,"Related Searches, Local Pack, Video","0.36,1.00,0.67,0.67,0.10,0.29,0.19,0.12,0.05,0.23,0.29,0.29",90,,
au,luxury design homes,luxury home builder,,,,,260,17,0.69,0.34,0,Informational,"Image Pack, Video, Image, Related Searches, AI Overview","0.54,1.00,0.44,0.18,0.15,0.18,1.00,0.28,0.23,0.18,0.23,0.18",90,,
au,luxury home house plans,luxury home builder,,,,,260,18,0.74,0.49,152,Informational,"Video, Image, Related Searches, Short Videos, Image Pack, Site Links","0.81,0.29,0.19,0.29,0.29,0.36,1.00,0.15,0.23,0.23,0.29,0.29",20,,
au,luxury homes house plans,luxury home builder,,,,,260,16,0.74,0.49,81600000,Informational,"Image Pack, Video, Image, Related Searches, AI Overview","0.66,0.54,0.36,0.19,0.23,0.29,1.00,0.23,0.15,0.12,0.15,0.15",90,,
au,luxury houses sydney,luxury home builder,,,,,170,24,0.90,0.38,26600000,Informational,"Image Pack, Video, Related Searches","0.42,0.80,0.80,0.65,0.80,0.65,0.34,0.53,0.65,0.42,0.65,0.65",90,,
au,boutique home builder,luxury home builder,,,,,140,25,1.81,0.50,28800000,Informational,"Knowledge Panel, Site Links, Video, People Also Ask, Related Searches","0.15,0.15,0.15,0.15,0.53,0.65,0.53,1.00,0.81,0.65,1.00,0.81",20,,
au,custom design home,luxury home builder,,,,,110,15,1.53,0.36,1260000000,Informational,"Local Pack, Image Pack, Related Searches","0.02,0.02,1.00,0.02,0.07,0.07,0.07,0.10,0.10,0.10,0.10,0.12",90,,
au,luxury home designs plans,luxury home builder,,,,,110,20,0.74,0.49,148,Informational,"Image Pack, Video, Image, Related Searches, AI Overview","0.10,0.43,0.05,0.05,0.23,0.23,1.00,0.28,0.28,0.28,0.23,0.17",90,,
au,luxury home renovations eastern suburbs,luxury home builder,,,,,110,3,0.00,0.00,118,Informational,"Knowledge Panel, Video, AI Overview","0.00,0.82,1.00,0.82,0.64,0.41,0.41,0.29,0.17",70,,
au,modern luxury house design,luxury home builder,,,,,110,13,0.80,0.39,214,Informational,"Short Videos, Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches","0.19,0.15,0.15,0.15,0.23,0.15,0.15,0.19,0.15,0.15,0.12,0.12",90,,
au,unique buildings,luxury home builder,,,,,110,19,2.37,0.02,324000000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack","0.43,0.10,0.43,0.43,0.28,0.28,0.23,0.35,0.28,0.28,0.35,0.53",75,,
